arch,model,compiler,kernel,bandwidth
rome, kokkos, aocc, complex_sum_soa, 309.911
rome, kokkos, aocc, complex_min, 321.158
rome, kokkos, aocc, field_summary, 169.142
rome, kokkos, aocc, describe, 316.348
rome, raja, aocc, dot, 305.958
rome, raja, aocc, complex_sum, 29.7758
rome, raja, aocc, complex_sum_soa, 306.402
rome, raja, aocc, field_summary, 197.946
rome, raja, aocc, describe, 286.682

rome, omp, aocc, dot, 309.901
rome, omp, aocc, complex_sum, 29.6556
rome, omp, aocc, complex_sum_soa, 309.046
rome, omp, aocc, complex_min, 28.843
rome, omp, aocc, field_summary, 218.342
rome, omp, aocc, describe, 314.183
rome, kokkos, aocc, dot, 308.892
rome, kokkos, aocc, complex_sum, 321.514
rome, kokkos, aocc, complex_sum_soa, 308.854
rome, kokkos, aocc, complex_min, 319.677
rome, kokkos, aocc, field_summary, 165.483
rome, kokkos, aocc, describe, 316.233
rome, raja, aocc, dot, 306.283
rome, raja, aocc, complex_sum, 29.6062
rome, raja, aocc, complex_sum_soa, 306.803
rome, raja, aocc, field_summary, 181.9
rome, raja, aocc, describe, 287.17

rome, omp, aocc, dot, 309.937
rome, omp, aocc, complex_sum, 29.7668
rome, omp, aocc, complex_sum_soa, 309.503
rome, omp, aocc, complex_min, 29.456
rome, omp, aocc, field_summary, 220.086
rome, omp, aocc, describe, 312.424
rome, kokkos, aocc, dot, 309.452
rome, kokkos, aocc, complex_sum, 321.87
rome, kokkos, aocc, complex_sum_soa, 309.481
rome, kokkos, aocc, complex_min, 320.812
rome, kokkos, aocc, field_summary, 165.547
rome, kokkos, aocc, describe, 315.878
rome, raja, aocc, dot, 305.685
rome, raja, aocc, complex_sum, 29.7309
rome, raja, aocc, complex_sum_soa, 307.976
rome, raja, aocc, field_summary, 177.345
rome, raja, aocc, describe, 284.865

rome, omp, aocc, dot, 308.72
rome, omp, aocc, complex_sum, 29.4904
rome, omp, aocc, complex_sum_soa, 309.515
rome, omp, aocc, complex_min, 29.5678
rome, omp, aocc, field_summary, 219.703
rome, omp, aocc, describe, 314.053
rome, kokkos, aocc, dot, 304.42
rome, kokkos, aocc, complex_sum, 321.597
rome, kokkos, aocc, complex_sum_soa, 309.487
rome, kokkos, aocc, complex_min, 314.229
rome, kokkos, aocc, field_summary, 162.509
rome, kokkos, aocc, describe, 289.75
rome, raja, aocc, dot, 306.803
rome, raja, aocc, complex_sum, 29.6746
rome, raja, aocc, complex_sum_soa, 307.224
rome, raja, aocc, field_summary, 190.497
rome, raja, aocc, describe, 286.62
